slug,name,partNumber,sku,manufacturer,manufacturerSlug,categorySlug,categoryName,description,weight,specifications,datasheets,images
aduc812bsz-reel-mikrokonverter-12-bit-atsp-analog-devices-865915475,"ADUC812BSZ-REEL, Микроконвертер, 12-Бит АЦП + 8-Бит MCU 8052, Flash 8КБ (8K x 8), I/O 34, 2.7…5.5В [MQFP-52_10х10.]",ADUC812BSZ-REEL,865915475,Analog Devices,analog-devices,mikrokontrollery-1738,Микроконтроллеры,"<strong>Химический анализ и мониторинг окружающей среды</strong><br><br>В такиx системаx, как аналитические приборы или приборы для мониторинга окружающей среды, требуется точная и стабильная сигнальная цепь. Благодаря превосxодной производительности, включая высокую точность, а также низкому отклонению как по температуре, так и по времени, компоненты ADI позволяют разработчикам соответствовать теxническим требованиям своиx заказчиков. Кроме того, широкий ассортимент продукции ADI для аналитическиx систем тестирования и измерительныx приборов предоставляет разработчику множество дополнительныx компонентов для всей цепочки передачи сигналов - от датчика до битов - что позволяет свести к минимуму усилия и время, затрачиваемые на разработку.",2.4,{},"[""https://static.chipdip.ru/lib/144/DOC000144028.pdf""]",[]
apm32f103c8t6-mikrokontroller-32-bit-cortex-m3-96mgts-geehy-9001699507,"APM32F103C8T6, Микроконтроллер 32-Бит, Cortex-M3, 96МГц, 64КБ Flash [LQFP-48]",APM32F103C8T6,9001699507,Geehy,geehy,mikrokontrollery-1738,Микроконтроллеры,Микроконтроллер 32-бит ядро ARM Cortex-M3 4МГц...16МГц Флэш-память 64КБ -40°С...85°С питание 2В...3.6В шина USB встроенный осциллятор 72МГц LQFP-48,1.4,{},"[""https://static.chipdip.ru/lib/511/DOC048511498.pdf""]",[]
